icd_code,icd_name,pathogen_a_cause_code,pathogen_a_cause_name,nonfatal_a_cause_name,nonfatal_cause_name,cause_outline
000,"There is not this code in ICD9 site, but we have in this data",infectious_path_unsp_bact$,bacterial infectious diseases due to non mentioned pathogen,_none,_none,E
0009,"There is not this code in ICD9 site, but we have in this data",infectious_path_unsp_bact$,bacterial infectious diseases due to non mentioned pathogen,_none,_none,E
001,Cholera,diarrhea_cholera_path_unsp$,diarrhea due to  cholera type non mentioned,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
0010,Cholera due to vibrio cholerae,diarrhea_cholera_path_classic$,diarrhea due to  cholera classic,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
0011,Cholera due to vibrio cholerae el tor,diarrhea_cholera_path_eltor$,diarrhea due to  cholera eltor,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
0014,Due to Vibrio cholerae el tor,diarrhea_cholera_path_eltor$,diarrhea due to  cholera eltor,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
0016,Due to Vibrio cholerae el tor,diarrhea_cholera_path_eltor$,diarrhea due to  cholera eltor,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
0018,Due to Vibrio cholerae el tor,diarrhea_cholera_path_eltor$,diarrhea due to  cholera eltor,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
0019,Cholera unspecified,diarrhea_cholera_path_unsp$,diarrhea due to  cholera type non mentioned,diarrhea_cholera,"Infectious, diarrhea (cholera)",A.03.01.01
002,Typhoid and paratyphoid fevers,intest_typhpartyph_path_salmonela$,intestinal infectious due to salmonella typhy and para typhy,intest_typhpartyph,"Infectious, typhoid and paratyphoid fever",A.03.02
0020,Typhoid fever,intest_typhoid_path_salmonela_typhy$,typhoid fever due to salmonella typhy,intest_typhoid,"Infectious, typhoid fever episodes",A.03.02.01
0021,Paratyphoid fever A,intest_typhoid_path_salmonela_para$,paratyphoid fever due to salmonella para typhy,intest_paratyph,"Infectious, paratyphoid fever episodes",A.03.02.02
0022,Paratyphoid fever B,intest_typhoid_path_salmonela_para$,paratyphoid fever due to salmonella para typhy,intest_paratyph,"Infectious, paratyphoid fever episodes",A.03.02.02
0023,Paratyphoid fever C,intest_typhoid_path_salmonela_para$,paratyphoid fever due to salmonella para typhy,intest_paratyph,"Infectious, paratyphoid fever episodes",A.03.02.02
0024,Paratyphoid fever C,intest_typhoid_path_salmonela_para$,paratyphoid fever due to salmonella para typhy,intest_paratyph,"Infectious, paratyphoid fever episodes",A.03.02.02
0029,"Paratyphoid fever, unspecified",intest_typhpartyph_path_salmonela$,intestinal infectious due to salmonella typhy and para typhy,intest_paratyph,"Infectious, paratyphoid fever episodes",A.03.02.02
003,Other salmonella infections,intest_typhpartyph_path_salmonela$,intestinal infectious due to salmonella typhy and para typhy,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0030,Salmonella gastroenteritis,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0031,Salmonella septicemia,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0032,Localized salmonella infections,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
00320,"Localized salmonella infection, unspecified",intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
00321,Salmonella meningitis,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
00322,Salmonella pneumonia,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
00323,Salmonella arthritis,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
00324,Salmonella osteomyelitis,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
00329,Other localized salmonella infections,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0034,Other,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0035,Other,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0036,Other,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0037,,intest_invesive non typhy_path_salmonela$,invasive non-typhoidal salmonella due to salmonella,intest_ints,Invasive Non-typhoid Salmonella (INTS),A.03.03
0038,Other specified salmonella infections,intest_typhpartyph_path_salmonela$,intestinal infectious due to salmonella typhy and para typhy,diarrhea_salmonella,"Infectious, diarrhea (salmonella)",A.03.01.02
0039,"Salmonella infection, unspecified",intest_typhpartyph_path_salmonela$,intestinal infectious due to salmonella typhy and para typhy,diarrhea_salmonella,"Infectious, diarrhea (salmonella)",A.03.01.02
004,Shigellosis,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
0040,Shigella dysenteriae,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
0041,Shigella flexneri,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
0042,Shigella boydii,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
0043,Shigella sonnei,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
0048,Other specified shigella infections,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
0049,Shigellosis unspecified,diarrhea_shigellosis_path_shigela$,diarrhea due to shigellosis,diarrhea_shigellosis,"Infectious, diarrhea (shigellosis)",A.03.01.03
005,Other food poisoning (bacterial),diarrhea_foodborne_path_unsp$,foodborne diarrhea pathogen non mentioned,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
0050,Staphylococcal food poisoning,diarrhea_foodborne_path_staph$,foodborne diarrhea due to staphylococcal intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
