"icd_code","icd_name","yll_cause","yll_cause_name","cause_outline","GUC","male","female","yll_amin","yll_amax"
"000","There is not this code in ICD9 site, but we have in this data","_gc","Garbage Code","GC","GC11","1","1",0,200
"0009","There is not this code in ICD9 site, but we have in this data","_gc","Garbage Code","GC","GC11","1","1",0,200
"001","Cholera","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"0010","Cholera due to vibrio cholerae","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"0011","Cholera due to vibrio cholerae el tor","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"0014","Due to Vibrio cholerae el tor","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"0016","Due to Vibrio cholerae el tor","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"0018","Due to Vibrio cholerae el tor","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"0019","Cholera unspecified","diarrhea_cholera","Cholera","A.03.01.01","A.03.01","1","1",0,200
"002","Typhoid and paratyphoid fevers","intest_typhpartyph","Typhoid and paratyphoid","A.03.02.00","A.03.02","1","1",0,200
"0020","Typhoid fever","intest_typhoid","Typhoid fever","A.03.02.01","A.03.02","1","1",0.0767123287671233,200
"0021","Paratyphoid fever A","intest_paratyph","Paratyphoid fever","A.03.02.02","A.03.02","1","1",0.0767123287671233,200
"0022","Paratyphoid fever B","intest_paratyph","Paratyphoid fever","A.03.02.02","A.03.02","1","1",0.0767123287671233,200
"0023","Paratyphoid fever C","intest_paratyph","Paratyphoid fever","A.03.02.02","A.03.02","1","1",0.0767123287671233,200
"0024","Paratyphoid fever C","intest_paratyph","Paratyphoid fever","A.03.02.02","A.03.02","1","1",0.0767123287671233,200
"0029","Paratyphoid fever, unspecified","intest_paratyph","Paratyphoid fever","A.03.02.02","A.03.02","1","1",0.0767123287671233,200
"003","Other salmonella infections","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0030","Salmonella gastroenteritis","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0031","Salmonella septicemia","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0032","Localized salmonella infections","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"00320","Localized salmonella infection, unspecified","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"00321","Salmonella meningitis","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"00322","Salmonella pneumonia","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"00323","Salmonella arthritis","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"00324","Salmonella osteomyelitis","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"00329","Other localized salmonella infections","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0034","Other","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0035","Other","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0036","Other","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0037","","intest_ints","Invasive Non-typhoidal Salmonella (iNTS)","A.03.03.00","A.03.03","1","1",0.0191780821917808,200
"0038","Other specified salmonella infections","diarrhea_salmonella","Other salmonella infections","A.03.01.02","A.03.01","1","1",0,200
"0039","Salmonella infection, unspecified","diarrhea_salmonella","Other salmonella infections","A.03.01.02","A.03.01","1","1",0,200
"004","Shigellosis","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"0040","Shigella dysenteriae","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"0041","Shigella flexneri","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"0042","Shigella boydii","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"0043","Shigella sonnei","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"0048","Other specified shigella infections","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"0049","Shigellosis unspecified","diarrhea_shigellosis","Shigellosis","A.03.01.03","A.03.01","1","1",0,200
"005","Other food poisoning (bacterial)","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0050","Staphylococcal food poisoning","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0051","Botulism food poisoning","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0052","Food poisoning due to Clostridium perfringens (C. welchii)","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0053","Food poisoning due to other Clostridia","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0054","Food poisoning due to Vibrio parahaemolyticus","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0058","Other bacterial food poisoning","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"00581","Food poisoning due to Vibrio vulnificus","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"00589","Other bacterial food poisoning","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"0059","Food poisoning, unspecified","diarrhea_foodborne","Other bacterial foodborne diarrhea","A.03.01.14","A.03.01","1","1",0,200
"006","Amebiasis","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0060","Acute amebic dysentery without mention of abscess","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0061","Chronic intestinal amebiasis without mention of abscess","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0062","Amebic nondysenteric colitis","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0063","Amebic liver abscess","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0064","Amebic lung abscess","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0065","Amebic brain abscess","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0066","Amebic skin ulceration","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0067","Amoebic skin ulceration","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0068","Amebic infection of other sites","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"0069","Amebiasis unspecified","diarrhea_amoebiasis","Amoebiasis","A.03.01.07","A.03.01","1","1",0.0767123287671233,200
"007","Other protozoal intestinal diseases","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0071","Giardiasis","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0072","Coccidiosis","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0073","Intestinal trichomoniasis","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0074","Cryptosporidiosis","diarrhea_cryptospor","Cryptosporidiosis","A.03.01.08","A.03.01","1","1",0,200
"0075","Cyclosporiasis","diarrhea_cryptospor","Cryptosporidiosis","A.03.01.08","A.03.01","1","1",0,200
"0077","Cryptosporidiosis","diarrhea_cryptospor","Cryptosporidiosis","A.03.01.08","A.03.01","1","1",0,200
"0078","Other specified protozoal intestinal diseases","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0079","Unspecified protozoal intestinal disease","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"008","Intestinal infections due to other organisms","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0080","Intestinal infection due to escherichia coli [e. coli]","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"00800","Intestinal infection due to E. coli, unspecified","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"00801","Intestinal infection due to enteropathogenic E. coli","diarrhea_epec","Enteropathogenic E coli infection","A.03.01.04","A.03.01","1","1",0,200
"00802","Intestinal infection due to enterotoxigenic E. coli","diarrhea_etec","Enterotoxigenic E coli infection","A.03.01.05","A.03.01","1","1",0,200
"00803","Intestinal infection due to enteroinvasive E. coli","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"00804","Intestinal infection due to enterohemorrhagic E. coli","diarrhea_etec","Enterotoxigenic E coli infection","A.03.01.05","A.03.01","1","1",0,200
"00809","Intestinal infection due to other intestinal E. coli infections","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0081","Intestinal infection due to arizona group of paracolon bacilli","intest_other","Other intestinal infectious diseases","A.03.05.00","A.03.05","1","1",0.0767123287671233,200
"0082","Intestinal infection due to aerobacter aerogenes","diarrhea_aeromonas","Aeromonas","A.03.01.10","A.03.01","1","1",0,200
"0083","Intestinal infection due to proteus (mirabilis) (morganii)","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0084","Intestinal infection due to other specified bacteria","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00841","Intestinal infection due to staphylococcus","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00842","Intestinal infection due to pseudomonas","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00843","Intestinal infection due to campylobacter","diarrhea_campylobac","Campylobacter enteritis","A.03.01.06","A.03.01","1","1",0,200
"00844","Intestinal infection due to yersinia enterocolitica","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00845","Intestinal infection due to Clostridium difficile","diarrhea_clostridium","Clostridium difficile","A.03.01.11","A.03.01","1","1",0,200
